ICD-10 (1-3-digit codes) main diagnosis,Diagnosis of hospital in-patients (main diagnosis),Year,Patient's place of residence,Gender,under 1 year,1 to under 5 years,5 to under 10 years,10 to under 15 years,15 to under 18 years,18 to under 20 years,20 to under 25 years,25 to under 30 years,30 to under 35 years,35 to under 40 years, 40 to under 45 years,45 to under 50 years,50 to under 55 years,55 to under 60 years,60 to under 65 years,65 to under 70 years,70 to under 75 years,75 to under 80 years,80 to under 85 years,85 to under 90 years
ICD10-K00-K93,Diseases of the digestive system,2021,Brandenburg,Both,4.7,2.8,3.1,3.3,3.2,3.4,3.5,3.5,3.7,4.1,4.2,4.6,5.1,5.2,5.7,6.1,5.9,6.4,7,7.3
ICD10-M00-M99,Diseases of the musculoskeletal sys.a.conn.tissue,2021,Brandenburg,Both,5.2,3.6,4.2,3.8,3.7,4.3,4.5,4.4,4.6,5.1,5.3,5.4,5.8,6.3,6.8,7.5,8.3,9.3,10.7,11.6
ICD10-A00-B99,Certain infectious and parasitic diseases,2021,Bremen,Male,3.8,3.5,2.7,2.8,5.4,3.3,10.9,6.5,5.8,5.8,7,9.1,9.1,8.3,9.9,11,9.2,10,10,11
ICD10-C00-C97,Malignant neoplasms,2021,Bremen,Male,4,3,5,5.7,8.1,3,8.4,9.2,4.4,11.3,7.7,7.2,7.9,7.6,7.1,8.1,7.6,8.2,7.5,7.5
ICD10-D50-D90,Diseases of the blood and blood-forming organs etc,2021,Bremen,Male,6,12,8.5,13.4,10.5,-,4.4,5.2,3.3,8,2.9,7.3,5.2,6.1,5.1,4.8,6,8.1,7.8,8.4
ICD10-E00-E90,"Endocrine, nutritional and metabolic diseases",2021,Bremen,Male,16.5,5.5,6,4.5,4.2,4.2,4.9,4.7,5.3,8.5,5.4,11.2,8.6,8.2,7.6,11.1,10,9.4,11.4,9.2
ICD10-G00-G99,Diseases of the nervous system,2021,Bremen,Male,6.6,6.1,3.5,4.4,3.6,4.2,3.5,4.1,4.6,4.9,6.8,7.7,7.1,8.3,9.8,10.4,8.4,9.1,8.9,6.1
ICD10-I00-I99,Diseases of the circulatory system,2021,Bremen,Male,13.4,28.7,3.3,2,2.5,2.6,7.4,5.8,4.9,6.3,8.1,7.7,6.9,6.9,7.8,8,8.3,8.8,9,9.3
ICD10-J00-J99,Diseases of the respiratory system,2021,Bremen,Male,3.4,3,2.5,3.6,3.7,4,4.9,4.2,5.1,6.3,6.6,8.7,9.8,8.5,9.5,9.2,10.6,10.3,10.9,10.4
ICD10-K00-K93,Diseases of the digestive system,2021,Bremen,Male,4.1,3.5,4,3,4.2,3.8,3.2,4,4,4.4,5.7,4.8,5.8,5.6,6,6.1,5.7,6,7.5,6.8
